,BBP
2009-06-03,17.16368643353993
2009-06-04,45.46707112480198
2009-06-05,30.221615957150235
2009-06-08,50.79478405699787
2009-06-09,47.97234640571719
2009-06-10,37.70999267779402
2009-06-11,38.79637231154941
2009-06-12,44.51372579159232
2009-06-15,16.65959808058146
2009-06-16,6.6603071703015075
2009-06-17,-2.8982080740875915
2009-06-18,32.19175543750352
2009-06-19,51.72960304565565
2009-06-22,6.8108902288390905
2009-06-23,24.523566640272623
2009-06-24,24.075789539319768
2009-06-25,40.96536423960039
2009-06-26,51.38012202441751
2009-06-29,58.89850684834197
2009-06-30,43.90880043986902
2009-07-01,34.9643597573566
2009-07-02,-2.3476315642148164
2009-07-06,12.167670473342165
2009-07-07,20.623635925355575
2009-07-08,20.733745767779986
2009-07-09,47.93765992723228
2009-07-10,13.946481598068289
2009-07-13,85.74315333164695
2009-07-14,82.83436719923117
2009-07-15,110.89148049925734
2009-07-16,99.02560898563864
2009-07-17,103.95888266567799
2009-07-20,98.53822999597888
2009-07-21,91.69059941750011
2009-07-22,85.4771408468785
2009-07-23,97.07504908061635
2009-07-24,88.56238148618498
2009-07-27,86.56909148480605
2009-07-28,82.36690332674263
2009-07-29,75.98810371174818
2009-07-30,80.50598266902358
2009-07-31,79.77196633874838
2009-08-03,86.86152668481229
2009-08-04,89.80926199529276
2009-08-05,101.3737958566515
2009-08-06,86.36131075695872
2009-08-07,101.69181757237568
2009-08-10,98.79409549638778
2009-08-11,79.73794606833813
2009-08-12,87.1929450312704
2009-08-13,90.46923841084549
2009-08-14,81.75675463279583
2009-08-17,60.145162149542045
2009-08-18,69.76924782542598
2009-08-19,64.1928373504378
2009-08-20,75.43277044620093
2009-08-21,88.26550265857112
2009-08-24,76.90479435541504
2009-08-25,82.27416728173796
2009-08-26,76.85360254804898
2009-08-27,78.06521225559786
2009-08-28,67.18887598550596
2009-08-31,77.80469741708205
2009-09-01,30.635899632521163
2009-09-02,12.208269710673358
2009-09-03,41.8115146344811
2009-09-04,48.206188995150676
2009-09-08,53.91366913385593
2009-09-09,60.82863875509592
2009-09-10,64.40682664965388
2009-09-11,49.95469685575474
2009-09-14,82.40410557163112
2009-09-15,65.48007733081552
2009-09-16,101.07314856507863
2009-09-17,101.60359610050445
2009-09-18,94.12171377504278
2009-09-21,81.98495274210762
2009-09-22,110.20405364445882
2009-09-23,80.26665774820584
2009-09-24,66.2217568813522
2009-09-25,52.93694049849946
2009-09-28,72.01087135406627
2009-09-29,71.6019151446564
2009-09-30,51.03151287330796
2009-10-01,2.825800319315214
2009-10-02,13.880154052019813
2009-10-05,49.905517292115206
2009-10-06,70.00803896306662
2009-10-07,82.22684032854545
2009-10-08,72.01983029216093
2009-10-09,79.87401243882704
2009-10-12,80.96422548012173
2009-10-13,70.6418793197578
2009-10-14,93.35664489275814
2009-10-15,88.5403639966697
2009-10-16,68.919563153447
2009-10-19,66.33183713167159
2009-10-20,67.51737425502724
2009-10-21,45.27244673856393
2009-10-22,61.47829827406493
2009-10-23,52.30359242495928
2009-10-26,29.865832871538544
2009-10-27,32.09541311536729
2009-10-28,14.668516188289063
2009-10-29,36.35227319101397
2009-10-30,-10.070900950784331
2009-11-02,8.227978698345176
2009-11-03,14.291829496153625
2009-11-04,11.650704213289822
2009-11-05,37.98584863254741
2009-11-06,33.72906452253267
2009-11-09,48.14207254368295
2009-11-10,46.48424974062005
2009-11-11,51.29001249905038
2009-11-12,35.32590908561019
2009-11-13,29.64439184556511
2009-11-16,34.48474641618532
2009-11-17,38.91556336980503
2009-11-18,45.80747968561246
2009-11-19,25.777867097527018
2009-11-20,24.25990839914764
2009-11-23,51.78429889442771
2009-11-24,27.790784208540035
2009-11-25,19.269115092415493
2009-11-27,0.22366329412840924
2009-11-30,33.359931786744994
2009-12-01,25.696803722513266
2009-12-02,19.27501800148004
2009-12-03,7.269329161557973
2009-12-04,20.249973558359653
2009-12-07,11.683991807076286
2009-12-08,13.631254685441444
2009-12-09,15.729995377476905
2009-12-10,19.174142076132703
2009-12-11,13.23793913406697
2009-12-14,40.661542042886126
2009-12-15,15.022150050792945
2009-12-16,33.069330150957185
2009-12-17,0.7053086535048378
2009-12-18,26.229815144884554
2009-12-21,60.77469854993518
2009-12-22,67.57559997280914
2009-12-23,53.5431565994803
2009-12-24,69.87547869702256
2009-12-28,60.86990442809268
2009-12-29,52.490676934678035
2009-12-30,57.08625152503387
2009-12-31,66.19719915161566
